State Name,FIPS Code,County Name,Total Non-Elderly Population (Excluding Undocumented),Uninsured Population (Excluding Undocumented),Percent Uninsured,HIU Income < 100% FPL,HIU Income 100-138% FPL,HIU Income 139-249% FPL,HIU Income 250-400% FPL,HIU Income 400% FPL,Age 0-18,Age 19-34,Age 35-49,Age 50-64,Male,Female,Married,Child in Family,Spanish/Hispanic/Latino Origin,White Non-Latino,Black Non-Latino,Asian / Native-Hawaiian / Pac Islander,American Indian / Alaska Native,Multi-racial or Other,SNAP Recipient,With a disability,Full-time Worker in Family,Employed in Agriculture Industry,Employed in Mining/Construction Industry,Employed in Manufacturing Industry,Employed in Trade Industry,Employed in Info/Finance Industry,Employed in Education/Health Industry,Employed in Entertainment Industry,Employed in Service Industry,Employed in Military/Public Industry,Less than High School,High School Diploma,College Grad,No English Speaking Adults in HH,English Spoken in HH,Spanish Spoken in HH,Chinese Spoken in HH,Korean Spoken in HH,Vietnamese Spoken in HH,Tagalog Spoken in HH,Russian Spoken in HH,Other Language Spoken in HH
Alabama,01001,Autauga AL,"16,600","1,800",11%,**,700,500,500,**,**,800,500,500,"1,000",800,"1,000",700,200,"1,200",400,**,**,**,200,200,"1,700",**,200,100,300,300,300,200,**,0,400,"1,300",**,**,"1,700",**,**,**,**,**,**,**
Alabama,01003,Baldwin AL,"60,800","5,900",10%,**,"1,400","2,200","2,200",**,**,"1,800","1,900","2,000","2,300","3,600","2,000","1,500",700,"4,800",400,**,**,**,"1,000",200,"5,200",**,700,600,800,"1,400",700,900,**,**,"1,000","4,400",500,**,"5,700",**,**,**,**,**,**,**
Alabama,01005,Barbour AL,"8,200","1,300",16%,**,300,500,600,**,**,600,400,300,600,700,300,500,100,500,700,**,**,**,300,100,"1,300",**,200,100,200,200,200,300,100,**,300,"1,100",0,100,"1,200",100,**,**,**,**,**,**
Alabama,01007,Bibb AL,"6,000",900,15%,**,400,300,300,**,**,400,400,200,400,500,400,400,**,300,600,**,**,**,200,**,800,**,**,200,100,100,100,200,100,**,200,600,100,**,900,**,**,**,**,**,**,**
Alabama,01009,Blount AL,"19,000","2,200",12%,**,600,700,900,**,**,"1,000",800,300,"1,200","1,100","1,000",800,300,"1,700",**,**,**,**,400,400,"2,100",**,800,200,300,200,200,**,200,**,600,"1,600",**,**,"2,100",**,**,**,**,**,**,**
Alabama,01011,Bullock AL,"3,300",500,16%,**,100,200,200,**,**,200,200,100,200,300,100,200,0,200,300,**,**,**,100,0,500,**,100,0,100,100,100,100,0,**,100,400,0,100,500,100,**,**,**,**,**,**
Alabama,01013,Butler AL,"6,800","1,000",15%,**,200,600,200,**,**,400,200,300,600,500,200,300,0,700,300,**,**,**,200,100,900,0,100,200,100,200,0,100,0,**,200,800,**,**,"1,000",**,**,**,**,**,**,**
Alabama,01015,Calhoun AL,"36,800","5,000",14%,**,"1,600","2,300","1,100",**,**,"2,100","1,800","1,100","3,100","1,900","2,100","2,100",**,"2,300","2,200",**,**,**,"1,400","1,000","4,800",**,900,800,"1,700",**,500,200,**,**,"1,300","3,600",**,**,"5,000",**,**,**,**,**,**,**
Alabama,01017,Chambers AL,"10,800","1,300",12%,**,100,700,500,**,**,600,300,300,900,300,400,300,100,900,200,**,**,**,200,100,"1,200",0,200,200,200,200,**,**,0,**,100,"1,100",**,**,"1,200",**,**,**,**,**,**,**
Alabama,01019,Cherokee AL,"8,300",900,11%,**,100,500,200,**,**,300,300,300,500,400,200,200,0,600,300,**,**,**,200,300,900,**,100,100,300,100,**,100,**,**,200,700,**,**,900,**,**,**,**,**,**,**
Alabama,01021,Chilton AL,"13,800","1,600",12%,**,100,900,600,**,**,800,300,400,"1,200",400,500,400,100,"1,100",300,**,**,**,300,100,"1,500",100,300,200,300,300,**,**,0,**,100,"1,500",**,**,"1,600",**,**,**,**,**,**,**
